"date" "party" "percent" "percent.true" "government" "election_date" "election" "error"
"1" 2013-04-24 "afd" 2 2.4 FALSE 2013-09-22 "BTW 2013" 0.4
"2" 2013-04-24 "cdu/csu" 42 38.6 TRUE 2013-09-22 "BTW 2013" 3.4
"3" 2013-04-24 "fdp" 5 5.8 FALSE 2013-09-22 "BTW 2013" 0.8
"4" 2013-04-24 "grune" 14 13.5 FALSE 2013-09-22 "BTW 2013" 0.5
"5" 2013-04-24 "linke" 7 6.7 FALSE 2013-09-22 "BTW 2013" 0.3
"6" 2013-04-24 "piraten" 3 2.6 FALSE 2013-09-22 "BTW 2013" 0.4
"7" 2013-04-24 "sonstige" 4 4.3 FALSE 2013-09-22 "BTW 2013" 0.3
"8" 2013-04-24 "spd" 23 26.3 TRUE 2013-09-22 "BTW 2013" 3.3
"9" 2013-04-28 "afd" 2 2.4 FALSE 2013-09-22 "BTW 2013" 0.4
"10" 2013-04-28 "cdu/csu" 41 38.6 TRUE 2013-09-22 "BTW 2013" 2.4
"11" 2013-04-28 "fdp" 4.5 5.8 FALSE 2013-09-22 "BTW 2013" 1.3
"12" 2013-04-28 "grune" 14 13.5 FALSE 2013-09-22 "BTW 2013" 0.5
"13" 2013-04-28 "linke" 7 6.7 FALSE 2013-09-22 "BTW 2013" 0.3
"14" 2013-04-28 "piraten" 3 2.6 FALSE 2013-09-22 "BTW 2013" 0.4
"15" 2013-04-28 "sonstige" 3.5 4.3 FALSE 2013-09-22 "BTW 2013" 0.8
"16" 2013-04-28 "spd" 25 26.3 TRUE 2013-09-22 "BTW 2013" 1.3
"17" 2013-05-01 "afd" 2.5 2.4 FALSE 2013-09-22 "BTW 2013" 0.1
"18" 2013-05-01 "cdu/csu" 39.5 38.6 TRUE 2013-09-22 "BTW 2013" 0.899999999999999
"19" 2013-05-01 "fdp" 4.5 5.8 FALSE 2013-09-22 "BTW 2013" 1.3
"20" 2013-05-01 "grune" 14 13.5 FALSE 2013-09-22 "BTW 2013" 0.5
"21" 2013-05-01 "linke" 7.5 6.7 FALSE 2013-09-22 "BTW 2013" 0.8
"22" 2013-05-01 "piraten" 3 2.6 FALSE 2013-09-22 "BTW 2013" 0.4
"23" 2013-05-01 "sonstige" 4 4.3 FALSE 2013-09-22 "BTW 2013" 0.3
"24" 2013-05-01 "spd" 25 26.3 TRUE 2013-09-22 "BTW 2013" 1.3
"25" 2013-05-02 "afd" 2.66666666666667 2.4 FALSE 2013-09-22 "BTW 2013" 0.266666666666667
"26" 2013-05-02 "cdu/csu" 39.6666666666667 38.6 TRUE 2013-09-22 "BTW 2013" 1.06666666666666
"27" 2013-05-02 "fdp" 4.33333333333333 5.8 FALSE 2013-09-22 "BTW 2013" 1.46666666666667
"28" 2013-05-02 "grune" 14.3333333333333 13.5 FALSE 2013-09-22 "BTW 2013" 0.833333333333334
"29" 2013-05-02 "linke" 7.33333333333333 6.7 FALSE 2013-09-22 "BTW 2013" 0.633333333333333
"30" 2013-05-02 "piraten" 3 2.6 FALSE 2013-09-22 "BTW 2013" 0.4
"31" 2013-05-02 "sonstige" 4.33333333333333 4.3 FALSE 2013-09-22 "BTW 2013" 0.0333333333333332
"32" 2013-05-02 "spd" 25.3333333333333 26.3 TRUE 2013-09-22 "BTW 2013" 0.966666666666669
"33" 2013-05-03 "afd" 2.875 2.4 FALSE 2013-09-22 "BTW 2013" 0.475
"34" 2013-05-03 "cdu/csu" 39.375 38.6 TRUE 2013-09-22 "BTW 2013" 0.774999999999999
"35" 2013-05-03 "fdp" 4.625 5.8 FALSE 2013-09-22 "BTW 2013" 1.175
"36" 2013-05-03 "grune" 14.5 13.5 FALSE 2013-09-22 "BTW 2013" 1
"37" 2013-05-03 "linke" 7 6.7 FALSE 2013-09-22 "BTW 2013" 0.3
"38" 2013-05-03 "piraten" 3 2.6 FALSE 2013-09-22 "BTW 2013" 0.4
"39" 2013-05-03 "sonstige" 3.875 4.3 FALSE 2013-09-22 "BTW 2013" 0.425
"40" 2013-05-03 "spd" 25.5 26.3 TRUE 2013-09-22 "BTW 2013" 0.800000000000001
"41" 2013-05-05 "afd" 2.875 2.4 FALSE 2013-09-22 "BTW 2013" 0.475
"42" 2013-05-05 "cdu/csu" 38.625 38.6 TRUE 2013-09-22 "BTW 2013" 0.0249999999999986
"43" 2013-05-05 "fdp" 4.875 5.8 FALSE 2013-09-22 "BTW 2013" 0.925
"44" 2013-05-05 "grune" 14.75 13.5 FALSE 2013-09-22 "BTW 2013" 1.25
"45" 2013-05-05 "linke" 7 6.7 FALSE 2013-09-22 "BTW 2013" 0.3
"46" 2013-05-05 "piraten" 3.33333333333333 2.6 FALSE 2013-09-22 "BTW 2013" 0.733333333333333
"47" 2013-05-05 "sonstige" 3.875 4.3 FALSE 2013-09-22 "BTW 2013" 0.425
"48" 2013-05-05 "spd" 25.5 26.3 TRUE 2013-09-22 "BTW 2013" 0.800000000000001
"49" 2013-05-07 "afd" 2.9 2.4 FALSE 2013-09-22 "BTW 2013" 0.5
"50" 2013-05-07 "cdu/csu" 38.3 38.6 TRUE 2013-09-22 "BTW 2013" 0.300000000000004
"51" 2013-05-07 "fdp" 4.7 5.8 FALSE 2013-09-22 "BTW 2013" 1.1
"52" 2013-05-07 "grune" 15 13.5 FALSE 2013-09-22 "BTW 2013" 1.5
"53" 2013-05-07 "linke" 7 6.7 FALSE 2013-09-22 "BTW 2013" 0.3
"54" 2013-05-07 "piraten" 3 2.6 FALSE 2013-09-22 "BTW 2013" 0.4
"55" 2013-05-07 "sonstige" 3.9 4.3 FALSE 2013-09-22 "BTW 2013" 0.4
"56" 2013-05-07 "spd" 25.8 26.3 TRUE 2013-09-22 "BTW 2013" 0.5
"57" 2013-05-10 "afd" 2.9 2.4 FALSE 2013-09-22 "BTW 2013" 0.5
"58" 2013-05-10 "cdu/csu" 38.3 38.6 TRUE 2013-09-22 "BTW 2013" 0.300000000000004
"59" 2013-05-10 "fdp" 4.9 5.8 FALSE 2013-09-22 "BTW 2013" 0.899999999999999
"60" 2013-05-10 "grune" 14.8 13.5 FALSE 2013-09-22 "BTW 2013" 1.3
"61" 2013-05-10 "linke" 6.8 6.7 FALSE 2013-09-22 "BTW 2013" 0.0999999999999996
